image,verdict,reason
DJI_0784,defect,有缺陷 理由: 叶片表面有明显的锈迹和涂层脱落。
DJI_0391,defect,有缺陷 理由: 叶片上有明显污渍和涂层脱落。
DJI_0762,clean,无缺陷 理由: 图中未发现任何明显的表面缺陷。
DJI_0964,clean,无缺陷 理由: 图中风机叶片表面光滑，没有明显的裂纹、腐蚀或其他损伤。
DJI_0404,clean,无缺陷 理由: 叶片表面光滑，无明显裂纹、腐蚀或损伤。
DJI_0218,defect,有缺陷 理由: 叶片表面有明显锈迹和涂层脱落。
DJI_0341,clean,无缺陷 理由: 叶片表面光滑，没有明显的裂纹、腐蚀或损伤。
DJI_0989,clean,无缺陷 理由: 图中风机叶片表面光滑，无明显裂纹、腐蚀或其他损伤。
DJI_0590,clean,无缺陷 理由: 叶片表面光滑，无明显损伤或缺陷。
DJI_0584,clean,无缺陷 理由: 叶片表面光滑，没有可见的裂纹、腐蚀或其他损伤。
DJI_0400,defect,有缺陷 理由: 叶片表面有明显的污渍和涂层脱落。
DJI_0972,clean,无缺陷 理由: 叶片表面光滑，无明显裂纹、腐蚀或损伤。
DJI_0768,clean,无缺陷 理由: 图中风机叶片表面光滑，无明显裂纹、腐蚀或损伤。
DJI_0780,defect,有缺陷 理由: 叶片表面有明显污渍和涂层脱落。
DJI_0352,defect,有缺陷 理由: 叶片表面有明显的污渍和涂层脱落。
DJI_0582,clean,无缺陷 理由: 图中叶片表面光滑，未发现明显缺陷。
DJI_0371,defect,有缺陷 理由: 叶片表面有明显的涂层脱落和污渍。
DJI_0609,defect,有缺陷 理由: 叶片表面有明显污渍和涂层脱落。
DJI_0965,clean,无缺陷 理由: 图中风机叶片表面光滑，没有明显的裂纹、腐蚀或其他损伤。
DJI_0969,defect,有缺陷 理由: 叶片表面有明显污渍。
DJI_0278,clean,无缺陷 理由: 图中叶片表面光滑，无明显裂纹、腐蚀或其他损伤。
DJI_0589,clean,无缺陷 理由: 图中叶片表面光滑，无明显裂纹、腐蚀或其他损伤。
DJI_0258,defect,有缺陷 理由: 叶片表面存在明显的污渍和涂层脱落。
DJI_0347,defect,有缺陷 理由: 叶片表面有明显的污渍和涂层脱落。
DJI_0985,clean,无缺陷 理由: 叶片表面光滑，无可见裂纹、腐蚀或其他损伤。
DJI_0761,clean,无缺陷 理由: 图中风机叶片表面无明显裂纹、腐蚀、损伤或涂层脱落等缺陷。
DJI_0233,defect,有缺陷 理由: 叶片表面有明显的污渍和涂层脱落。
DJI_0632,clean,无缺陷 理由: 图中叶片表面光滑，无明显裂纹、腐蚀或涂层脱落。
DJI_0772,clean,无缺陷 理由: 图中风机叶片表面光滑，没有明显裂纹、腐蚀或其他损伤。
DJI_0326,clean,无缺陷 理由: 叶片表面光滑，没有明显的裂纹、腐蚀或其他损伤。
DJI_0596,defect,有缺陷 理由: 叶片表面有明显污渍。
DJI_0734,clean,无缺陷 理由: 图中风机叶片表面光滑，未发现明显缺陷。
DJI_0775,defect,有缺陷 理由: 叶片表面有明显污渍。
DJI_0614,clean,无缺陷 理由: 叶片表面光滑，无明显损伤或污渍。
DJI_0260,defect,有缺陷 理由: 叶片表面有明显污渍和涂层脱落。
DJI_0354,clean,无缺陷 理由: 叶片表面光滑，无明显裂纹、腐蚀或损伤。
DJI_0239,defect,有缺陷 理由: 叶片表面有明显污渍。
DJI_0740,clean,无缺陷 理由: 图中叶片表面光滑，无明显裂纹、腐蚀或损伤。
DJI_0227,defect,有缺陷 理由: 叶片表面有明显的污渍和涂层脱落。
DJI_0729,defect,有缺陷 理由: 叶片表面有明显的污渍和涂层脱落。
